"","MEI","PDO","AO","NAO","Gulf","GL","HB","IOD","","",""
"",1.65686379956082,-0.233743709945205,1.55929693043998,0.349086005035366,0.119364738129592,-1.54259749801484,-0.783941449985098,0.867906093597412,2,1,1
"",0.62073024459763,1.58135225470079,-0.325078791230833,-1.17335287370072,-0.309028287492399,-1.94219884671607,-2.56500645577072,-0.688565254211426,2,1,1
"",2.20688962900172,1.35850814279384,1.00347647324817,0.314042065930156,-0.765338036226818,-1.43913970520927,-1.53983629098408,-0.637996673583984,2,1,1
"dum",0.883954337929128,1.17065099452134,-1.052304319886,-1.30808584557252,-0.0525887128924684,-0.681216291385424,-0.302391522597568,0.308271884918213,2,1,1
"",2.51671486043173,0.768275741094391,1.62283427143762,0.353262936890684,1.39585507097664,-0.325992910496005,-0.753456899468949,0.524885654449463,2,1,1
"",-0.0290243892799356,0.00626670770949034,1.11183177057727,0.732971078091694,-0.398686551782106,-0.957720031257051,-3.55108702979819,-1.02387046813965,2,1,1
"",1.31450609695205,0.527647709411334,0.327669993312709,1.86579786203276,-0.185899516066891,0.745437969145121,-1.30470634545386,-0.38633394241333,2,1,1
"dum",1.40540561158855,1.14654997885917,-0.961750515135161,1.02599627021078,0.142337559697251,0.338213575716834,0.1456355416914,0.778566837310791,2,1,1
"",-0.395416729938685,-0.0836239033022939,2.4686354350548,2.43979260219987,0.604773832888699,1.11530541358723,0.712867747340182,1.30410432815552,2,1,1
"",-0.412991763097174,-0.0132540375632357,-0.54563186782965,1.17015459965974,1.76239664435136,0.627503133464078,-0.450252575207511,-0.640112400054932,2,1,1
"",-1.73504868949308,-0.430789521491797,0.349460280976909,0.779424902087421,0.710639848007297,0.496769871337509,1.51236400270839,-0.335079193115234,2,1,1
"dum",-0.829445663820012,-1.31909141095672,-0.926264367093735,1.33842377787357,0.43512188784063,0.17270797470908,-0.238979934018102,0.426290512084961,2,1,1
"",-3.28894458556331,-0.763101501483985,-1.4179356358258,0.392407715773778,-2.17328144254939,-0.474641280267487,-0.452205428024569,0.778768062591553,2,1,1
"",-1.03273961338473,-0.643862378461555,-0.306335814063532,0.0109939522729873,-0.695920870321135,-1.52451076009456,0.460218798011871,-0.900893688201904,2,1,1
"",-1.0168025325827,-1.58740763136049,1.64567176008558,-3.39689115352113,-0.707230033818322,-0.443566854500971,0.450988575878394,-0.591316223144531,2,1,1
"dum",0.150169291832509,0.155060493022286,-0.328094663147911,1.36959252733683,1.13582148702783,0.181779274129871,-0.328245789601491,0.743234634399414,2,1,1
"",1.27669934655528,0.793210229735115,0.822477889104717,-2.80960043402552,0.635466246673492,-0.00547391253102873,-0.687505010434158,1.22215414047241,2,1,1
"",2.50078668996287,0.962188013164205,-0.872427688006895,-0.756297111325376,0.372653360382516,0.523928165017895,-1.07386213791133,-0.718902111053467,2,1,1
"",-0.241194378858468,1.93991663940929,2.84891591236073,-2.05336755734069,-0.505679009983117,0.979705524074501,-1.096471878247,-0.766846656799316,2,1,1
"dum",-0.108719728245707,0.450879079145352,-1.17520643880252,2.1692844578902,-1.86238543205138,0.260198347429136,0.178969424749515,0.171933174133301,2,1,1
"",-3.00064303018224,0.0794249335155568,-2.41759099329232,0.616548264190597,-0.547682484922116,-0.102376129424781,0.72235748953592,0.485888481140137,2,1,1
"",0.113921871776738,0.917235163465759,0.84714876021363,0.144482756591492,1.26903661155988,-1.41444192981854,1.45786273607486,-0.695417881011963,2,1,1
"",-1.23390097721025,1.93636587807428,-2.12867720945355,0.59800133655789,-0.993320055465154,-1.03222649286899,0.307766852030178,-0.735111713409424,2,1,1
"dum",1.89543396619949,2.88215844611811,-0.603881360936804,0.471863866027534,-1.08717670225553,-0.78389580054226,0.290644831875645,-0.13306713104248,2,1,1
"",1.46351737160777,3.73231862475098,0.343253310480132,-1.81604135705718,-1.1757200318344,-0.669864278170966,1.11942261109669,-0.0944452285766602,2,1,1
"",-0.303460984118859,2.11014345461322,0.67244023998558,2.06557129445082,-0.797063479397115,-0.924711127297868,-0.613565164896407,-1.09376668930054,2,1,1
"",-0.0210558043434158,3.14546958209468,-2.18834623224989,0.536071599976737,-1.06979528117046,-1.08080109001375,0.512444851346973,-0.647717475891113,2,1,1
"dum",0.0697741975612934,0.819342825059581,2.79068161717714,-0.627228361669568,-0.234382954081895,-0.887113415091221,0.167235655979682,-0.495083332061768,2,1,1
"",0.0157554524970551,1.57401815214909,1.8820956455724,-0.895567631377968,-1.14861357765985,-1.2998815394873,0.629087920083861,0.0480170249938965,2,1,1
"",-2.16883814577558,-0.132044312416187,-0.253183480530866,0.500126699837186,-0.799439177638905,-1.81145859886165,-0.851295185436941,-1.27875375747681,2,1,1
"",-4.20522866859745,-2.0310707257733,0.658720247756621,1.16460647641389,-0.858392142440542,-2.38295145566783,-0.190727183869619,-0.342349052429199,2,1,1
"dum",-3.64903700939509,-0.793832198047734,-0.90184704723713,0.988843352973189,0.445258406428568,-0.985091789575729,-0.183874882213962,0.279800415039062,2,1,1
"",-3.70124797148661,-1.3030484985583,3.56241977416387,-2.69002547869986,0.241489847942267,-1.04770979895947,-0.401921087761579,1.09256172180176,2,1,1
"",-4.82426176395883,-1.13094908937565,-0.745355468290106,0.399925380448263,0.697782425941446,-2.01924600659419,-0.523769371262302,-0.825813293457031,2,1,1
"",-6.43131002672777,-2.20979027958539,-0.385881713345927,0.470830658361631,0.0267262494094509,-0.706899334920401,-0.375371493007023,-0.514995574951172,2,1,1
"dum",-4.35636524000957,-1.44993473201527,1.16649912252105,-0.0613736342289343,0.069656959355379,-0.472128302708092,-0.211244067979003,0.500354766845703,2,1,1
"",-5.57521498342865,-1.37666187829291,2.35240962268492,-1.39776550651421,-1.00359087919794,-0.386505936424505,-0.497337815931829,0.756540775299072,2,1,1
"",-3.73351725680137,-1.94292052890068,1.69381248100273,-0.18791068256723,-1.86914020340974,-0.0333983772471598,-0.156507535674994,-0.719450950622559,2,1,1
"",-4.18295270691663,-1.44858482414273,-1.05584562323081,3.52424764883054,-0.430339853378474,-0.420948980565448,-0.254167832805857,-0.204261302947998,2,1,1
"dum",-0.92326234623951,-2.21806433560178,0.656621940991432,-2.75349248330882,-1.98032949843918,0.356202977293754,-0.221120336546106,0.740438461303711,2,1,1
"",0.163722186908575,-0.770694099588525,2.11635117007544,0.909778952545958,-0.906230530107424,0.513239791110903,-0.244378514601695,1.35889959335327,2,1,1
"",-0.0300797973206461,-0.911602995380726,1.95009182345651,0.891728182354761,-0.407608171984847,1.14505796363104,0.131802744615165,-0.825462341308594,2,1,1
"",-0.926881067365453,-2.50904182540584,-1.14237741207473,0.862123450572825,-0.915492366544778,-0.350317381693009,-1.13477673615445,-0.493576049804688,2,1,1
"dum",-2.31569421361361,-3.9993353544345,-3.43885102714784,-0.468114077910837,-1.02073598076994,0.833115969475103,-0.145159399102704,0.729647159576416,2,1,1
"",-2.04871097993462,-4.96497482175215,-0.648052975723914,3.46810559997172,0.962089977294108,1.24146947828831,-0.232967481176168,1.23505306243896,2,1,1
"",-2.64160450382962,-5.59893384841808,0.566731354233413,-0.850714755977386,1.84800215601259,2.15233508535951,0.979565411868045,-0.436261653900146,2,1,1
"",-2.32161694526885,-4.91031641812324,0.659084868297621,-1.12438678534873,-0.54210123078308,1.32270568869369,0.400154687730445,0.137872219085693,2,1,1
"dum",-0.603677067326349,-2.87943178169854,3.23390728243233,-0.948546742115785,-1.28409070935335,0.971792713331684,-0.350064683486279,0.519142627716064,2,1,1
"",-2.62151359319639,-2.39595707330554,-1.03668607096161,1.20560240206231,-0.827563541157581,1.18998572891981,-0.521325132210494,0.0260210037231445,2,1,1
